Program Time [s],data 0,data 1
48.474,0,0
48.484,0,0
48.494,0,0
48.504,0,0
48.5139,0,0
48.5239,0,0
48.5339,0,0
48.5439,0,0
48.5539,0,0
48.5638,0,0
48.5738,0,0
48.5838,0,0
48.5938,0,0
48.6038,0,0
48.6136,0,0
48.6236,0,0
48.6336,0,0
48.6437,0,0
48.6537,0,0
48.6637,0,0
48.6735,0,0
48.6835,0,0
48.6935,0,0
48.7035,0,0
48.7134,0,0
48.7234,0,0
48.7334,0,0
48.7434,0,0
48.7534,0,0
48.7633,0,0
48.7733,0,0
48.7833,0,0
48.7933,0,0
48.8033,0,0
48.8132,0,0
48.8232,0,0
48.8332,0,0
48.8432,0,0
48.8532,0,0
48.863,0,0
48.873,0,0
48.883,0,0
48.893,0,0
48.903,0,0
48.913,0,0
48.9229,0,0
48.9329,0,0
48.9429,0,0
48.9529,0,0
48.9629,0,0
48.9728,0,0
48.9828,0,0
48.9928,0,0
49.0028,0,0
49.0128,0,0
49.0227,0,0
49.0327,0,0
49.0427,0,0
49.0527,0,0
49.0627,0,0
49.0725,0,0
49.0826,0,0
49.0925,0,0
49.1026,0,0
49.1124,0,0
49.1224,0,0
49.1324,0,0
49.1424,0,0
49.1524,0,0
49.1623,0,0
49.1723,0,0
49.1823,0,0
49.1923,0,0
49.2023,0,0
49.2122,0,0
49.2222,0,0
49.2322,0,0
49.2422,0,0
49.2522,0,0
49.262,0,0
49.272,0,0
49.282,0,0
49.292,0,0
49.3021,0,0
49.3119,0,0
49.3219,0,0
49.3319,0,0
49.3419,0,0
49.3519,0,0
49.3618,0,0
49.3718,0,0
49.3818,0,0
49.3918,0,0
49.4018,0,0
49.4117,0,0
49.4217,0,0
49.4317,0,0
49.4417,0,0
49.4517,0,0
49.4615,0,0
49.4715,0,0
49.4815,0,0
49.4915,0,0
49.5014,0,0
49.5114,0,0
49.5214,0,0
49.5314,0,0
49.5414,0,0
49.5513,0,0
49.5613,0,0
49.5713,0,0
49.5813,0,0
49.5913,0,0
49.6013,0,0
49.6112,0,0
49.6212,0,0
49.6312,0,0
49.6412,0,0
49.651,0,0
49.661,0,0
49.671,0,0
49.681,0,0
49.691,0,0
49.7009,0,0
49.7109,0,0
49.7209,0,0
49.7309,0,0
49.7409,0,0
49.7508,0,0
49.7608,0,0
49.7708,0,0
49.7808,0,0
49.7908,0,0
49.8007,0,0
49.8107,0,0
49.8207,0,0
49.8307,0,0
49.8405,0,0
49.8506,0,0
49.8605,0,0
49.8706,0,0
49.8806,0,0
49.8904,0,0
49.9004,0,0
49.9104,0,0
49.9204,0,0
49.9304,0,0
49.9403,0,0
49.9503,0,0
49.9603,0,0
49.9703,0,0
49.9803,0,0
49.9902,0,0
50.0002,0,0
50.0102,0,0
50.0202,0,0
50.0302,0,0
50.04,0,0
50.0501,0,0
50.0601,0,0
50.07,0,0
50.08,0,0
50.0899,0,0
50.0999,0,0
50.1099,0,0
50.1199,0,0
50.1299,0,0
50.1398,0,0
50.1498,0,0
50.1598,0,0
50.1698,0,0
50.1797,0,0
50.1897,0,0
50.1997,0,0
50.2097,0,0
50.2197,0,0
50.2295,0,0
50.2396,0,0
50.2495,0,0
50.2596,0,0
50.2696,0,0
50.2794,0,0
50.2894,0,0
50.2994,0,0
50.3094,0,0
50.3194,0,0
50.3293,0,0
50.3393,0,0
50.3493,0,0
50.3593,0,0
50.3693,0,0
50.3792,0,0
50.3892,0,0
50.3992,0,0
50.4092,0,0
50.4191,0,0
50.4291,0,0
50.439,0,0
50.449,0,0
50.459,0,0
50.4689,0,0
50.4789,0,0
50.4889,0,0
50.4989,0,0
50.5088,0,0
50.5188,0,0
50.5288,0,0
50.5388,0,0
50.5488,0,0
50.5587,0,0
50.5687,0,0
50.5787,0,0
50.5887,0,0
50.5987,0,0
50.6086,0,0
50.6185,0,0
50.6286,0,0
50.6386,0,0
50.6486,0,0
50.6584,0,0
50.6684,0,0
50.6784,0,0
50.6884,0,0
50.6983,0,0
50.7083,0,0
50.7183,0,0
50.7283,0,0
50.7383,0,0
50.7482,0,0
50.7582,0,0
50.7682,0,0
50.7782,0,0
50.7882,0,0
50.7981,0,0
50.8081,0,0
50.818,0,0
50.8281,0,0
50.8379,0,0
50.8479,0,0
50.8579,0,0
50.8679,0,0
50.8779,0,0
50.8878,0,0
50.8978,0,0
50.9078,0,0
50.9178,0,0
50.9277,0,0
50.9377,0,0
50.9477,0,0
50.9577,0,0
50.9677,0,0
50.9776,0,0
50.9876,0,0
50.9975,0,0
51.0075,0,0
51.0175,0,0
51.0274,0,0
51.0374,0,0
51.0474,0,0
51.0574,0,0
51.0674,0,0
51.0773,0,0
51.0873,0,0
51.0973,0,0
51.1073,0,0
51.1172,0,0
51.1272,0,0
51.1372,0,0
51.1472,0,0
51.1572,0,0
51.1671,0,0
51.1771,0,0
51.187,0,0
51.1971,0,0
51.2071,0,0
51.2169,0,0
51.2269,0,0
51.2369,0,0
51.2469,0,0
51.2569,0,0
51.2668,0,0
51.2768,0,0
51.2868,0,0
51.2968,0,0
51.3068,0,0
51.3168,0,0
51.3267,0,0
51.3367,0,0
51.3467,0,0
51.3567,0,0
51.3667,0,0
51.3766,0,0
51.3866,0,0
51.3966,0,0
51.4066,0,0
51.4166,0,0
51.4264,0,0
51.4364,0,0
51.4464,0,0
51.4564,0,0
51.4664,0,0
51.4763,0,0
51.4863,0,0
51.4963,0,0
51.5063,0,0
51.5163,0,0
51.5262,0,0
51.5362,0,0
51.5462,0,0
51.5562,0,0
51.5662,0,0
51.576,0,0
51.5861,0,0
51.5961,0,0
51.6061,0,0
51.6161,0,0
51.6259,0,0
51.6359,0,0
51.6459,0,0
51.6559,0,0
51.6659,0,0
51.6758,0,0
51.6858,0,0
51.6958,0,0
51.7058,0,0
51.7158,0,0
51.7258,0,0
51.7357,0,0
51.7457,0,0
51.7557,0,0
51.7657,0,0
51.7757,0,0
51.7857,0,0
51.7956,0,0
51.8056,0,0
51.8156,0,0
51.8256,0,0
51.8356,0,0
51.8454,0,0
51.8554,0,0
51.8654,0,0
51.8754,0,0
51.8854,0,0
51.8953,0,0
51.9053,0,0
51.9153,0,0
51.9253,0,0
51.9353,0,0
51.9453,0,0
51.9552,0,0
51.9652,0,0
51.9752,0,0
51.9852,0,0
51.9952,0,0
52.0052,0,0
52.0151,0,0
52.0251,0,0
52.0351,0,0
52.0451,0,0
52.0551,0,0
52.0649,0,0
52.0749,0,0
52.0849,0,0
52.0949,0,0
52.1049,0,0
52.1149,0,0
52.1248,0,0
52.1348,0,0
52.1448,0,0
52.1548,0,0
52.1648,0,0
52.1748,0,0
52.1847,0,0
52.1947,0,0
52.2047,0,0
52.2147,0,0
52.2247,0,0
52.2346,0,0
52.2446,0,0
52.2546,0,0
52.2646,0,0
52.2746,0,0
52.2844,0,0
52.2944,0,0
52.3044,0,0
52.3144,0,0
52.3244,0,0
52.3344,0,0
52.3443,0,0
52.3543,0,0
52.3643,0,0
52.3743,0,0
52.3843,0,0
52.3943,0,0
52.4042,0,0
52.4142,0,0
52.4242,0,0
52.4342,0,0
52.4442,0,0
52.4542,0,0
52.464,0,0
52.474,0,0
52.484,0,0
52.494,0,0
52.504,0,0
52.514,0,0
52.5239,0,0
52.5339,0,0
52.5439,0,0
52.5539,0,0
52.5639,0,0
52.5738,0,0
52.5838,0,0
52.5938,0,0
52.6038,0,0
52.6138,0,0
52.6238,0,0
52.6337,0,0
52.6437,0,0
52.6537,0,0
52.6637,0,0
52.6737,0,0
52.6835,0,0
52.6935,0,0
52.7035,0,0
52.7135,0,0
52.7235,0,0
52.7334,0,0
52.7434,0,0
52.7534,0,0
52.7634,0,0
52.7734,0,0
52.7834,0,0
52.7933,0,0
52.8033,0,0
52.8133,0,0
52.8233,0,0
52.8333,0,0
52.8432,0,0
52.8532,0,0
52.8632,0,0
52.8732,0,0
52.8832,0,0
52.8932,0,0
52.903,0,0
52.913,0,0
52.923,0,0
52.933,0,0
52.943,0,0
52.9529,0,0
52.9629,0,0
52.9729,0,0
52.9829,0,0
52.9929,0,0
53.0028,0,0
53.0128,0,0
53.0228,0,0
53.0328,0,0
53.0428,0,0
53.0527,0,0
53.0627,0,0
53.0727,0,0
53.0827,0,0
53.0927,0,0
53.1025,0,0
53.1125,0,0
53.1225,0,0
53.1325,0,0
53.1425,0,0
53.1524,0,0
53.1624,0,0
53.1724,0,0
53.1824,0,0
53.1924,0,0
53.2023,0,0
53.2123,0,0
53.2223,0,0
53.2323,0,0
53.2423,0,0
53.2522,0,0
53.2622,0,0
53.2722,0,0
53.2822,0,0
53.2922,0,0
53.302,0,0
53.312,0,0
53.322,0,0
53.332,0,0
53.342,0,0
53.352,0,0
53.3619,0,0
53.3719,0,0
53.3819,0,0
53.3919,0,0
53.4019,0,0
53.4118,0,0
53.4218,0,0
53.4318,0,0
53.4418,0,0
53.4518,0,0
53.4617,0,0
53.4717,0,0
53.4817,0,0
53.4917,0,0
53.5017,0,0
53.5115,0,0
53.5215,0,0
53.5315,0,0
53.5415,0,0
53.5515,0,0
53.5614,0,0
53.5714,0,0
53.5814,0,0
53.5914,0,0
53.6014,0,0
53.6113,0,0
53.6213,0,0
53.6313,0,0
53.6413,0,0
53.6513,0,0
53.6613,0,0
53.6712,0,0
53.6812,0,0
53.6912,0,0
53.7012,0,0
53.7112,0,0
53.721,0,0
53.731,0,0
53.741,0,0
53.751,0,0
53.761,0,0
53.7709,0,0
53.7809,0,0
53.7909,0,0
53.8009,0,0
53.8109,0,0
53.8208,0,0
53.8308,0,0
53.8408,0,0
53.8508,0,0
53.8608,0,0
53.8708,0,0
53.8807,0,0
53.8907,0,0
53.9007,0,0
53.9107,0,0
53.9207,0,0
53.9305,0,0
53.9405,0,0
53.9505,0,0
53.9605,0,0
53.9705,0,0
53.9804,0,0
53.9904,0,0
54.0004,0,0
54.0104,0,0
54.0204,0,0
54.0304,0,0
54.0403,0,0
54.0503,0,0
54.0603,0,0
54.0703,0,0
54.0803,0,0
54.0902,0,0
54.1002,0,0
54.1102,0,0
54.1202,0,0
54.1302,0,0
54.1402,0,0
54.15,0,0
54.16,0,0
54.17,0,0
54.18,0,0
54.19,0,0
54.1999,0,0
54.2099,0,0
54.2199,0,0
54.2299,0,0
54.2399,0,0
